areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-12-21,2235,2110314
overview,United Kingdom,K02000001,2020-12-20,15762,2108079
overview,United Kingdom,K02000001,2020-12-19,19222,2092317
overview,United Kingdom,K02000001,2020-12-18,31068,2073095
overview,United Kingdom,K02000001,2020-12-17,33209,2042027
overview,United Kingdom,K02000001,2020-12-16,34672,2008818
overview,United Kingdom,K02000001,2020-12-15,33764,1974146
overview,United Kingdom,K02000001,2020-12-14,34644,1940382
overview,United Kingdom,K02000001,2020-12-13,21981,1905738
overview,United Kingdom,K02000001,2020-12-12,19350,1883757
overview,United Kingdom,K02000001,2020-12-11,24077,1864407
overview,United Kingdom,K02000001,2020-12-10,22635,1840330
overview,United Kingdom,K02000001,2020-12-09,21644,1817695
overview,United Kingdom,K02000001,2020-12-08,20803,1796051
overview,United Kingdom,K02000001,2020-12-07,21351,1775248
overview,United Kingdom,K02000001,2020-12-06,13604,1753897
overview,United Kingdom,K02000001,2020-12-05,12772,1740293
overview,United Kingdom,K02000001,2020-12-04,15663,1727521
overview,United Kingdom,K02000001,2020-12-03,15635,1711858
overview,United Kingdom,K02000001,2020-12-02,16432,1696223
overview,United Kingdom,K02000001,2020-12-01,16441,1679791
overview,United Kingdom,K02000001,2020-11-30,18011,1663350
overview,United Kingdom,K02000001,2020-11-29,10688,1645339
overview,United Kingdom,K02000001,2020-11-28,10948,1634651
overview,United Kingdom,K02000001,2020-11-27,14368,1623703
overview,United Kingdom,K02000001,2020-11-26,14564,1609335
overview,United Kingdom,K02000001,2020-11-25,16605,1594771
overview,United Kingdom,K02000001,2020-11-24,16453,1578166
overview,United Kingdom,K02000001,2020-11-23,18743,1561713
overview,United Kingdom,K02000001,2020-11-22,11735,1542970
overview,United Kingdom,K02000001,2020-11-21,12347,1531235
overview,United Kingdom,K02000001,2020-11-20,16854,1518888
overview,United Kingdom,K02000001,2020-11-19,17750,1502034
overview,United Kingdom,K02000001,2020-11-18,20756,1484284
overview,United Kingdom,K02000001,2020-11-17,23177,1463528
overview,United Kingdom,K02000001,2020-11-16,26564,1440351
overview,United Kingdom,K02000001,2020-11-15,16032,1413787
overview,United Kingdom,K02000001,2020-11-14,17998,1397755
overview,United Kingdom,K02000001,2020-11-13,24038,1379757
overview,United Kingdom,K02000001,2020-11-12,24460,1355719
overview,United Kingdom,K02000001,2020-11-11,27354,1331259
overview,United Kingdom,K02000001,2020-11-10,27420,1303905
overview,United Kingdom,K02000001,2020-11-09,31044,1276485
overview,United Kingdom,K02000001,2020-11-08,19952,1245441
overview,United Kingdom,K02000001,2020-11-07,18529,1225489
overview,United Kingdom,K02000001,2020-11-06,23320,1206960
overview,United Kingdom,K02000001,2020-11-05,23741,1183640
overview,United Kingdom,K02000001,2020-11-04,23681,1159899
overview,United Kingdom,K02000001,2020-11-03,25582,1136218
overview,United Kingdom,K02000001,2020-11-02,31518,1110636
overview,United Kingdom,K02000001,2020-11-01,15751,1079118
